method,baseline_size,final_size,size_reduction,baseline_score,final_score,security_preservation,num_applied,program,selector,applied_passes,rejected_passes,num_rejected,num_passes_applied,num_steps_taken
random,47,47,0.0,8.0,8.0,100.0,0.0,benchmark_018,random,[],"[{'pass': 'loop-deletion', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'gvn', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sroa', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'indvars', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'dce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-unroll', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'adce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'aggressive-instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'simplifycfg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sccp', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'inline', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'mem2reg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-rotate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'early-cse', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'jump-threading', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'tailcallelim', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'licm', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'correlated-propagation', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'reassociate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}]",20.0,,
rl,47,36,23.404255319148938,8.0,8.0,100.0,,benchmark_018,,"['sroa', 'simplifycfg', 'simplifycfg', 'simplifycfg', 'simplifycfg', 'simplifycfg', 'simplifycfg', 'simplifycfg', 'simplifycfg', 'simplifycfg']",,,10.0,10.0
O0,201,201,0.0,14.0,14.0,100.0,0.0,benchmark_019,,,,,,
O2,201,175,12.935323383084576,14.0,3.0,21.428571428571427,0.0,benchmark_019,,,,,,
O3,201,175,12.935323383084576,14.0,3.0,21.428571428571427,0.0,benchmark_019,,,,,,
greedy,201,201,0.0,14.0,14.0,100.0,0.0,benchmark_019,greedy,[],[],0.0,,
random,201,201,0.0,14.0,14.0,100.0,0.0,benchmark_019,random,[],"[{'pass': 'licm', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'indvars', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'inline', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'dce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sroa', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'adce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'mem2reg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'early-cse', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-rotate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-unroll', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'tailcallelim', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-deletion', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'jump-threading', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'reassociate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'correlated-propagation', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'aggressive-instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'simplifycfg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sccp', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'gvn', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}]",20.0,,
rl,201,908,-351.7412935323383,14.0,14.0,100.0,,benchmark_019,,"['sroa', 'loop-unroll', 'aggressive-instcombine', 'aggressive-instcombine', 'aggressive-instcombine', 'aggressive-instcombine']",,,6.0,10.0
O0,47,47,0.0,8.0,8.0,100.0,0.0,benchmark_020,,,,,,
O2,47,32,31.914893617021278,8.0,2.0,25.0,0.0,benchmark_020,,,,,,
O3,47,32,31.914893617021278,8.0,2.0,25.0,0.0,benchmark_020,,,,,,
greedy,47,47,0.0,8.0,8.0,100.0,0.0,benchmark_020,greedy,[],[],0.0,,
random,47,47,0.0,8.0,8.0,100.0,0.0,benchmark_020,random,[],"[{'pass': 'simplifycfg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'early-cse', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-unroll', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sroa', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'adce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'indvars', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'gvn', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'aggressive-instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'reassociate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'jump-threading', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'tailcallelim', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'licm', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sccp', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'dce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'correlated-propagation', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-deletion', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'mem2reg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'inline', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-rotate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}]",20.0,,
rl,47,36,23.404255319148938,8.0,8.0,100.0,,benchmark_020,,"['sroa', 'simplifycfg', 'simplifycfg', 'simplifycfg', 'simplifycfg', 'simplifycfg', 'simplifycfg', 'simplifycfg', 'simplifycfg', 'simplifycfg']",,,10.0,10.0
O0,101,101,0.0,12.0,12.0,100.0,0.0,benchmark_021,,,,,,
O2,101,77,23.762376237623762,12.0,10.0,83.33333333333334,0.0,benchmark_021,,,,,,
O3,101,77,23.762376237623762,12.0,10.0,83.33333333333334,0.0,benchmark_021,,,,,,
greedy,101,101,0.0,12.0,12.0,100.0,0.0,benchmark_021,greedy,[],[],0.0,,
random,101,101,0.0,12.0,12.0,100.0,0.0,benchmark_021,random,[],"[{'pass': 'sccp', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'jump-threading', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'mem2reg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'licm', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'inline', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'adce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'gvn', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-rotate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sroa', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'early-cse', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'simplifycfg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'aggressive-instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'reassociate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'indvars', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-deletion', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'dce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'correlated-propagation', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-unroll', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'tailcallelim', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}]",20.0,,
rl,101,116,-14.85148514851485,12.0,12.0,100.0,,benchmark_021,,"['sroa', 'loop-unroll', 'sroa', 'sroa', 'sroa', 'sroa', 'sroa', 'sroa', 'sroa', 'sroa']",,,10.0,10.0
O0,192,192,0.0,11.0,11.0,100.0,0.0,benchmark_022,,,,,,
O2,192,135,29.6875,11.0,3.0,27.27272727272727,0.0,benchmark_022,,,,,,
O3,192,319,-66.14583333333334,11.0,3.0,27.27272727272727,0.0,benchmark_022,,,,,,
greedy,192,192,0.0,11.0,11.0,100.0,0.0,benchmark_022,greedy,[],[],0.0,,
random,192,192,0.0,11.0,11.0,100.0,0.0,benchmark_022,random,[],"[{'pass': 'sccp', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-deletion', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'indvars', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'simplifycfg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sroa', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'adce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'reassociate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'inline', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'jump-threading', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'early-cse', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'licm', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'gvn', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'tailcallelim', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-rotate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'correlated-propagation', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'dce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'mem2reg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'aggressive-instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-unroll', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}]",20.0,,
rl,192,243,-26.5625,11.0,11.0,100.0,,benchmark_022,,"['sroa', 'loop-unroll', 'gvn', 'early-cse', 'early-cse', 'early-cse', 'simplifycfg', 'simplifycfg', 'simplifycfg', 'loop-unroll', 'loop-unroll', 'loop-unroll']",,,12.0,12.0
O0,192,192,0.0,11.0,11.0,100.0,0.0,benchmark_023,,,,,,
O2,192,158,17.708333333333336,11.0,3.0,27.27272727272727,0.0,benchmark_023,,,,,,
O3,192,158,17.708333333333336,11.0,3.0,27.27272727272727,0.0,benchmark_023,,,,,,
greedy,192,192,0.0,11.0,11.0,100.0,0.0,benchmark_023,greedy,[],[],0.0,,
random,192,192,0.0,11.0,11.0,100.0,0.0,benchmark_023,random,[],"[{'pass': 'aggressive-instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'reassociate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'jump-threading', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-unroll', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'dce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sroa', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-rotate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'correlated-propagation', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'indvars', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'gvn', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-deletion', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'tailcallelim', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'mem2reg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sccp', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'licm', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'simplifycfg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'adce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'inline', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'early-cse', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}]",20.0,,
rl,192,205,-6.770833333333333,11.0,13.0,118.18181818181819,,benchmark_023,,"['sroa', 'loop-unroll', 'gvn', 'early-cse', 'simplifycfg', 'loop-unroll', 'loop-rotate', 'loop-unroll', 'loop-unroll', 'loop-unroll', 'loop-unroll', 'loop-unroll']",,,12.0,12.0
O0,47,47,0.0,7.0,7.0,100.0,0.0,benchmark_024,,,,,,
O2,47,21,55.319148936170215,7.0,4.0,57.14285714285714,0.0,benchmark_024,,,,,,
O3,47,21,55.319148936170215,7.0,4.0,57.14285714285714,0.0,benchmark_024,,,,,,
greedy,47,47,0.0,7.0,7.0,100.0,0.0,benchmark_024,greedy,[],[],0.0,,
random,47,47,0.0,7.0,7.0,100.0,0.0,benchmark_024,random,[],"[{'pass': 'mem2reg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'tailcallelim', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'inline', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-deletion', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'aggressive-instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'adce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'licm', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'early-cse', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-unroll', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'dce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'gvn', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'reassociate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'correlated-propagation', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sccp', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sroa', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-rotate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'indvars', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'jump-threading', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'simplifycfg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}]",20.0,,
rl,47,26,44.680851063829785,7.0,7.0,100.0,,benchmark_024,,['sroa'],,,1.0,10.0
O0,192,192,0.0,11.0,11.0,100.0,0.0,benchmark_025,,,,,,
O2,192,177,7.8125,11.0,3.0,27.27272727272727,0.0,benchmark_025,,,,,,
O3,192,177,7.8125,11.0,3.0,27.27272727272727,0.0,benchmark_025,,,,,,
greedy,192,192,0.0,11.0,11.0,100.0,0.0,benchmark_025,greedy,[],[],0.0,,
random,192,192,0.0,11.0,11.0,100.0,0.0,benchmark_025,random,[],"[{'pass': 'gvn', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'dce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sroa', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'indvars', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'inline', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'jump-threading', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-rotate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-deletion', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sccp', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'early-cse', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-unroll', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'correlated-propagation', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'aggressive-instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'simplifycfg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'tailcallelim', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'reassociate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'mem2reg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'licm', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'adce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}]",20.0,,
rl,192,175,8.854166666666668,11.0,11.0,100.0,,benchmark_025,,"['sroa', 'loop-unroll', 'early-cse', 'aggressive-instcombine', 'simplifycfg', 'loop-unroll', 'loop-unroll', 'loop-unroll', 'loop-unroll', 'loop-unroll']",,,10.0,10.0
O0,192,192,0.0,11.0,11.0,100.0,0.0,benchmark_026,,,,,,
O2,192,177,7.8125,11.0,3.0,27.27272727272727,0.0,benchmark_026,,,,,,
O3,192,177,7.8125,11.0,3.0,27.27272727272727,0.0,benchmark_026,,,,,,
greedy,192,192,0.0,11.0,11.0,100.0,0.0,benchmark_026,greedy,[],[],0.0,,
random,192,192,0.0,11.0,11.0,100.0,0.0,benchmark_026,random,[],"[{'pass': 'sccp', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-deletion', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'jump-threading', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'aggressive-instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'indvars', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'dce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'tailcallelim', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'correlated-propagation', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'licm', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'reassociate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'early-cse', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'simplifycfg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-rotate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'gvn', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-unroll', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'inline', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sroa', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'adce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'mem2reg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}]",20.0,,
rl,192,175,8.854166666666668,11.0,11.0,100.0,,benchmark_026,,"['sroa', 'loop-unroll', 'early-cse', 'aggressive-instcombine', 'simplifycfg', 'loop-unroll', 'loop-unroll', 'loop-unroll', 'loop-unroll', 'loop-unroll']",,,10.0,10.0
O0,85,85,0.0,10.0,10.0,100.0,0.0,benchmark_027,,,,,,
O2,85,196,-130.58823529411765,10.0,40.0,400.0,0.0,benchmark_027,,,,,,
O3,85,196,-130.58823529411765,10.0,40.0,400.0,0.0,benchmark_027,,,,,,
greedy,85,85,0.0,10.0,10.0,100.0,0.0,benchmark_027,greedy,[],[],0.0,,
